1789031877.290948306,1095, 3996, 199.69, 35
1789031877.815317920,1095, 3996, 199.67, 35
1789031878.339174658,1095, 3996, 199.86, 34
1789031878.975092787,1095, 3996, 199.86, 34
1789031879.496783424,1095, 3996, 199.66, 34
1789031880.019989439,1095, 3996, 199.67, 34
1789031880.543542963,1095, 3996, 199.67, 34
1789031881.065857547,1095, 3996, 199.66, 34
1789031881.588643459,1095, 3996, 199.67, 34
1789031882.113391706,1095, 3996, 199.77, 34
1789031882.655133243,1095, 3996, 199.79, 34
1789031883.504390916,1095, 3996, 203.01, 34
1789031884.029225935,1095, 3996, 203.07, 34
1789031884.551992831,1095, 3996, 266.68, 36
1789031885.075531012,1095, 3996, 277.35, 35
1789031885.600298684,1095, 3996, 227.65, 35
1789031886.126255258,1095, 3996, 234.07, 35
1789031886.652184443,1095, 3996, 216.91, 34
