1789034267.197294512,120, 3996, 185.81, 33
1789034268.018210274,2032, 3996, 219.31, 34
1789034268.540058666,2032, 3996, 248.27, 34
1789034269.058657693,2032, 3996, 243.26, 34
1789034269.580299936,2032, 3996, 243.60, 34
1789034270.099224842,570, 3996, 227.42, 33
1789034270.620614398,435, 3996, 199.18, 33
1789034271.140600037,360, 3996, 188.71, 33
1789034271.663508632,2032, 3996, 211.23, 34
1789034272.183144653,2032, 3996, 240.29, 34
1789034272.702558747,2032, 3996, 283.78, 35
1789034273.222078681,2032, 3996, 286.40, 34
1789034273.744410414,2032, 3996, 245.90, 34
