1789034149.200730162,1095, 3996, 198.35, 33
1789034150.034025813,1095, 3996, 201.79, 33
1789034150.751444908,1095, 3996, 201.62, 33
1789034151.274710949,1095, 3996, 198.60, 33
1789034152.031938885,1095, 3996, 198.61, 33
1789034152.580066416,1095, 3996, 198.71, 33
1789034153.100234142,1095, 3996, 198.50, 33
1789034153.621074974,1095, 3996, 198.28, 33
1789034154.153258305,1095, 3996, 198.33, 33
1789034154.673765580,1095, 3996, 201.16, 33
1789034155.195617915,1095, 3996, 216.82, 33
1789034155.716925595,1095, 3996, 209.42, 33
1789034156.236227172,1095, 3996, 198.57, 33
1789034156.835222968,1095, 3996, 198.58, 33
1789034157.357824820,1095, 3996, 198.52, 33
1789034157.884204742,1095, 3996, 198.48, 33
1789034158.436958532,1095, 3996, 198.49, 33
1789034159.006477509,1095, 3996, 198.52, 33
1789034159.552178748,1095, 3996, 198.50, 33
1789034160.117415150,1095, 3996, 198.44, 33
1789034160.682274566,1095, 3996, 198.24, 33
1789034161.222994037,1095, 3996, 210.94, 33
1789034161.848936194,1095, 3996, 219.04, 33
1789034162.371211043,1095, 3996, 203.76, 33
