Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
27993778,6112,13,16,4,1,128,1,1,195,0.000,0.074,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_gqa_sparse_decode_kernel
28025747,2912,19,1,64,1,128,1,1,32,0.000,0.001,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_merge_topk_attn_out_kernel
28054483,6144,31,16,4,1,128,1,1,195,0.000,0.074,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_gqa_sparse_decode_kernel
28070163,2912,37,1,64,1,128,1,1,32,0.000,0.001,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_merge_topk_attn_out_kernel
28092051,6112,49,16,4,1,128,1,1,195,0.000,0.074,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_gqa_sparse_decode_kernel
28104595,3009,55,1,64,1,128,1,1,32,0.000,0.001,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_merge_topk_attn_out_kernel
28124500,6080,67,16,4,1,128,1,1,195,0.000,0.074,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_gqa_sparse_decode_kernel
28136372,3040,73,1,64,1,128,1,1,32,0.000,0.001,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_merge_topk_attn_out_kernel
28155540,6208,85,16,4,1,128,1,1,195,0.000,0.074,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_gqa_sparse_decode_kernel
28167028,2912,91,1,64,1,128,1,1,32,0.000,0.001,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_merge_topk_attn_out_kernel
28186100,6144,103,16,4,1,128,1,1,195,0.000,0.074,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_gqa_sparse_decode_kernel
28197684,2945,109,1,64,1,128,1,1,32,0.000,0.001,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_merge_topk_attn_out_kernel
28217941,6112,121,16,4,1,128,1,1,195,0.000,0.074,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_gqa_sparse_decode_kernel
28229653,3008,127,1,64,1,128,1,1,32,0.000,0.001,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_merge_topk_attn_out_kernel
28248789,6112,139,16,4,1,128,1,1,195,0.000,0.074,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_gqa_sparse_decode_kernel
28260245,3040,145,1,64,1,128,1,1,32,0.000,0.001,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_merge_topk_attn_out_kernel
28280661,6176,157,16,4,1,128,1,1,195,0.000,0.074,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_gqa_sparse_decode_kernel
28291990,2944,163,1,64,1,128,1,1,32,0.000,0.001,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_merge_topk_attn_out_kernel
28311254,6144,175,16,4,1,128,1,1,195,0.000,0.074,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_gqa_sparse_decode_kernel
28322614,2912,181,1,64,1,128,1,1,32,0.000,0.001,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_merge_topk_attn_out_kernel
28341142,6080,193,16,4,1,128,1,1,195,0.000,0.074,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_gqa_sparse_decode_kernel
28351382,3008,199,1,64,1,128,1,1,32,0.000,0.001,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_merge_topk_attn_out_kernel
28377238,6113,211,16,4,1,128,1,1,195,0.000,0.074,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_gqa_sparse_decode_kernel
28387927,3040,217,1,64,1,128,1,1,32,0.000,0.001,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_merge_topk_attn_out_kernel
28405847,6176,229,16,4,1,128,1,1,195,0.000,0.074,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_gqa_sparse_decode_kernel
28416503,2912,235,1,64,1,128,1,1,32,0.000,0.001,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_merge_topk_attn_out_kernel
28434999,6176,247,16,4,1,128,1,1,195,0.000,0.074,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_gqa_sparse_decode_kernel
28445943,2944,253,1,64,1,128,1,1,32,0.000,0.001,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_merge_topk_attn_out_kernel
28464855,6112,265,16,4,1,128,1,1,195,0.000,0.074,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_gqa_sparse_decode_kernel
28474935,3009,271,1,64,1,128,1,1,32,0.000,0.001,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_merge_topk_attn_out_kernel
28492664,6048,283,16,4,1,128,1,1,195,0.000,0.074,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_gqa_sparse_decode_kernel
28503128,3040,289,1,64,1,128,1,1,32,0.000,0.001,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_merge_topk_attn_out_kernel
28531416,6176,301,16,4,1,128,1,1,195,0.000,0.074,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_gqa_sparse_decode_kernel
28542456,2912,307,1,64,1,128,1,1,32,0.000,0.001,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_merge_topk_attn_out_kernel
28560568,6144,319,16,4,1,128,1,1,195,0.000,0.074,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_gqa_sparse_decode_kernel
28570873,2912,325,1,64,1,128,1,1,32,0.000,0.001,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_merge_topk_attn_out_kernel
28589337,6112,337,16,4,1,128,1,1,195,0.000,0.074,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_gqa_sparse_decode_kernel
28599801,3008,343,1,64,1,128,1,1,32,0.000,0.001,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_merge_topk_attn_out_kernel
28617593,6080,355,16,4,1,128,1,1,195,0.000,0.074,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_gqa_sparse_decode_kernel
28628249,3008,361,1,64,1,128,1,1,32,0.000,0.001,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_merge_topk_attn_out_kernel
