Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
28404062,19264,13,64,4,1,128,1,1,195,0.000,0.074,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_gqa_sparse_decode_kernel
28461246,3648,19,16,64,1,128,1,1,23,0.000,0.002,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_merge_topk_attn_out_kernel
28493215,18976,31,64,4,1,128,1,1,195,0.000,0.074,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_gqa_sparse_decode_kernel
28514175,3616,37,16,64,1,128,1,1,23,0.000,0.002,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_merge_topk_attn_out_kernel
28531583,19008,49,64,4,1,128,1,1,195,0.000,0.074,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_gqa_sparse_decode_kernel
28552223,3680,55,16,64,1,128,1,1,23,0.000,0.002,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_merge_topk_attn_out_kernel
28563199,19105,67,64,4,1,128,1,1,195,0.000,0.074,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_gqa_sparse_decode_kernel
28583968,3680,73,16,64,1,128,1,1,23,0.000,0.002,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_merge_topk_attn_out_kernel
28594528,18976,85,64,4,1,128,1,1,195,0.000,0.074,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_gqa_sparse_decode_kernel
28614496,3616,91,16,64,1,128,1,1,23,0.000,0.002,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_merge_topk_attn_out_kernel
28624928,19168,103,64,4,1,128,1,1,195,0.000,0.074,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_gqa_sparse_decode_kernel
28646272,3617,109,16,64,1,128,1,1,23,0.000,0.002,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_merge_topk_attn_out_kernel
28657313,18880,121,64,4,1,128,1,1,195,0.000,0.074,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_gqa_sparse_decode_kernel
28679201,3712,127,16,64,1,128,1,1,23,0.000,0.002,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_merge_topk_attn_out_kernel
28702273,19104,139,64,4,1,128,1,1,195,0.000,0.074,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_gqa_sparse_decode_kernel
28723265,3648,145,16,64,1,128,1,1,23,0.000,0.002,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_merge_topk_attn_out_kernel
28732386,19104,157,64,4,1,128,1,1,195,0.000,0.074,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_gqa_sparse_decode_kernel
28753794,3616,163,16,64,1,128,1,1,23,0.000,0.002,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_merge_topk_attn_out_kernel
28763394,18976,175,64,4,1,128,1,1,195,0.000,0.074,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_gqa_sparse_decode_kernel
28783490,3616,181,16,64,1,128,1,1,23,0.000,0.002,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_merge_topk_attn_out_kernel
28791874,18912,193,64,4,1,128,1,1,195,0.000,0.074,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_gqa_sparse_decode_kernel
28813346,3713,199,16,64,1,128,1,1,23,0.000,0.002,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_merge_topk_attn_out_kernel
28820931,18784,211,64,4,1,128,1,1,195,0.000,0.074,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_gqa_sparse_decode_kernel
28841059,3648,217,16,64,1,128,1,1,23,0.000,0.002,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_merge_topk_attn_out_kernel
28862019,18944,229,64,4,1,128,1,1,195,0.000,0.074,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_gqa_sparse_decode_kernel
28883843,3616,235,16,64,1,128,1,1,23,0.000,0.002,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_merge_topk_attn_out_kernel
28892899,19361,247,64,4,1,128,1,1,195,0.000,0.074,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_gqa_sparse_decode_kernel
28913540,3616,253,16,64,1,128,1,1,23,0.000,0.002,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_merge_topk_attn_out_kernel
28921828,18816,265,64,4,1,128,1,1,195,0.000,0.074,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_gqa_sparse_decode_kernel
28942372,3648,271,16,64,1,128,1,1,23,0.000,0.002,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_merge_topk_attn_out_kernel
28950916,18880,283,64,4,1,128,1,1,195,0.000,0.074,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_gqa_sparse_decode_kernel
