Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
28822446,8512,13,64,4,1,128,1,1,195,0.000,0.074,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_gqa_sparse_decode_kernel
28880207,3328,19,4,64,1,128,1,1,32,0.000,0.001,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_merge_topk_attn_out_kernel
28913071,8352,31,64,4,1,128,1,1,195,0.000,0.074,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_gqa_sparse_decode_kernel
28928015,3296,37,4,64,1,128,1,1,32,0.000,0.001,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_merge_topk_attn_out_kernel
28950479,8417,49,64,4,1,128,1,1,195,0.000,0.074,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_gqa_sparse_decode_kernel
28963120,3424,55,4,64,1,128,1,1,32,0.000,0.001,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_merge_topk_attn_out_kernel
28982928,8352,67,64,4,1,128,1,1,195,0.000,0.074,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_gqa_sparse_decode_kernel
28997008,3488,73,4,64,1,128,1,1,32,0.000,0.001,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_merge_topk_attn_out_kernel
29016816,8352,85,64,4,1,128,1,1,195,0.000,0.074,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_gqa_sparse_decode_kernel
29029616,3328,91,4,64,1,128,1,1,32,0.000,0.001,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_merge_topk_attn_out_kernel
29048625,8416,103,64,4,1,128,1,1,195,0.000,0.074,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_gqa_sparse_decode_kernel
29060625,3360,109,4,64,1,128,1,1,32,0.000,0.001,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_merge_topk_attn_out_kernel
29084145,8416,121,64,4,1,128,1,1,195,0.000,0.074,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_gqa_sparse_decode_kernel
29095953,3456,127,4,64,1,128,1,1,32,0.000,0.001,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_merge_topk_attn_out_kernel
29117233,8320,139,64,4,1,128,1,1,195,0.000,0.074,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_gqa_sparse_decode_kernel
29128721,3425,145,4,64,1,128,1,1,32,0.000,0.001,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_merge_topk_attn_out_kernel
29161682,8384,157,64,4,1,128,1,1,195,0.000,0.074,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_gqa_sparse_decode_kernel
29174482,3328,163,4,64,1,128,1,1,32,0.000,0.001,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_merge_topk_attn_out_kernel
29193778,8352,175,64,4,1,128,1,1,195,0.000,0.074,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_gqa_sparse_decode_kernel
29205522,3392,181,4,64,1,128,1,1,32,0.000,0.001,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_merge_topk_attn_out_kernel
29223859,8384,193,64,4,1,128,1,1,195,0.000,0.074,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_gqa_sparse_decode_kernel
29235091,3456,199,4,64,1,128,1,1,32,0.000,0.001,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_merge_topk_attn_out_kernel
29253523,8416,211,64,4,1,128,1,1,195,0.000,0.074,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_gqa_sparse_decode_kernel
29264595,3456,217,4,64,1,128,1,1,32,0.000,0.001,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_merge_topk_attn_out_kernel
29282291,8384,229,64,4,1,128,1,1,195,0.000,0.074,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_gqa_sparse_decode_kernel
29293939,3328,235,4,64,1,128,1,1,32,0.000,0.001,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_merge_topk_attn_out_kernel
29330164,8320,247,64,4,1,128,1,1,195,0.000,0.074,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_gqa_sparse_decode_kernel
29341812,3328,253,4,64,1,128,1,1,32,0.000,0.001,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_merge_topk_attn_out_kernel
29359828,8448,265,64,4,1,128,1,1,195,0.000,0.074,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_gqa_sparse_decode_kernel
29370420,3424,271,4,64,1,128,1,1,32,0.000,0.001,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_merge_topk_attn_out_kernel
29388628,8416,283,64,4,1,128,1,1,195,0.000,0.074,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_gqa_sparse_decode_kernel
29398964,3424,289,4,64,1,128,1,1,32,0.000,0.001,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_merge_topk_attn_out_kernel
29416853,8448,301,64,4,1,128,1,1,195,0.000,0.074,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_gqa_sparse_decode_kernel
29427349,3296,307,4,64,1,128,1,1,32,0.000,0.001,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_merge_topk_attn_out_kernel
29444277,8512,319,64,4,1,128,1,1,195,0.000,0.074,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_gqa_sparse_decode_kernel
29455061,3392,325,4,64,1,128,1,1,32,0.000,0.001,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_merge_topk_attn_out_kernel
29473461,8416,337,64,4,1,128,1,1,195,0.000,0.074,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_gqa_sparse_decode_kernel
29483605,3456,343,4,64,1,128,1,1,32,0.000,0.001,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_merge_topk_attn_out_kernel
29501430,8320,355,64,4,1,128,1,1,195,0.000,0.074,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_gqa_sparse_decode_kernel
29511990,3424,361,4,64,1,128,1,1,32,0.000,0.001,,,,,NVIDIA B300 SXM6 AC (0),1,,7,_merge_topk_attn_out_kernel
